,handle,handle_name,followers between 200 and 400
2699,@Sidhart39814595 =271,@Sidhart39814595,271
2717,@PiyushAkkian =361,@PiyushAkkian,361
2725,@NimbalkarPranay =334,@NimbalkarPranay,334
2735,@AmitYad78399870 =345,@AmitYad78399870,345
2737,@jaikumawat93 =395,@jaikumawat93,395
2744,@BlackPa66659521 =268,@BlackPa66659521,268
2751,@manishkaushikEM =298,@manishkaushikEM,298
2761,@ArunSin97172641 =364,@ArunSin97172641,364
2812,@hindu_sher_AKS =398,@hindu_sher_AKS,398
2863,@ranashashisingh =347,@ranashashisingh,347
2868,@Dipika1967 =276,@Dipika1967,276
2869,@business_lend =302,@business_lend,302
2886,@AmarJeetpal70 =237,@AmarJeetpal70,237
2890,@4498Abhisharma =347,@4498Abhisharma,347
2902,@SuccessVestige =289,@SuccessVestige,289
2903,@mr_nightmare911 =240,@mr_nightmare911,240
2925,@Priyans16246983 =248,@Priyans16246983,248
2948,@SunnyDe02160413 =264,@SunnyDe02160413,264
2950,@bharatengineer =372,@bharatengineer,372
2955,@Ravi48203020 =312,@Ravi48203020,312
2960,@Vasudev45111720 =307,@Vasudev45111720,307
2988,@AnandGu51737679 =295,@AnandGu51737679,295
3002,@YT5699 =292,@YT5699,292
3007,@ShadabA58769226 =302,@ShadabA58769226,302
3020,@GhochuPappu =380,@GhochuPappu,380
3029,@Sanataniladka =345,@Sanataniladka,345
3033,@samirobust =276,@samirobust,276
3067,@YouthIndiaMP =284,@YouthIndiaMP,284
3069,@Airman_Ramesh =318,@Airman_Ramesh,318
3074,@Optimus84715495 =334,@Optimus84715495,334
3080,@Rohityadav00 =305,@Rohityadav00,305
3086,@officeSPM_ =355,@officeSPM_,355
3100,@MituRalte =203,@MituRalte,203
3106,@ANAJAAN___A =302,@ANAJAAN___A,302
3107,@Shivam_saini77 =243,@Shivam_saini77,243
3118,@RaghavAcharya95 =302,@RaghavAcharya95,302
3133,@bearanupam =267,@bearanupam,267
3139,@Itrs369Shyam =221,@Itrs369Shyam,221
3162,@SonuKum95724273 =348,@SonuKum95724273,348
3187,@bharatsepyar143 =200,@bharatsepyar143,200
3192,@give2society =305,@give2society,305
3209,@DeepakP33950315 =218,@DeepakP33950315,218
3212,@DrSudarshan27 =222,@DrSudarshan27,222
3215,@Rishabh82680817 =318,@Rishabh82680817,318
3251,@AnjaliS48424100 =329,@AnjaliS48424100,329
3276,@JepoyGumanan =278,@JepoyGumanan,278
3291,@NareshD2608 =201,@NareshD2608,201
3296,@iAjayYadav2 =281,@iAjayYadav2,281
